Sr. No,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Chandvad,Bajra,1021,1021,1021,23022012
2,Nashik,Chandvad,Bajra,1001,1001,1001,25012012
3,Nashik,Chandvad,Bajra,1156,1156,1156,06012012
4,Nashik,Chandvad,Bajra,1011,1011,1011,02122011
5,Nashik,Chandvad,Bajra,1071,1071,1071,19112011
6,Nashik,Chandvad,Bajra,1129,1129,1129,12112011
7,Nashik,Chandvad,Bajra,975,975,975,11112011
8,Nashik,Chandvad,Bajra,999,1078,1050,05112011
9,Nashik,Chandvad,Bajra,1122,1122,1122,04112011
10,Nashik,Chandvad,Bajra,851,851,851,02112011
11,Nashik,Chandvad,Bajra,955,955,955,15062011
12,Nashik,Chandvad,Bajra,1031,1031,1031,24052011
13,Nashik,Chandvad,Bajra,1011,1011,1011,18052011
14,Nashik,Chandvad,Bajra,1100,1100,1100,14052011
15,Nashik,Chandvad,Bajra,1111,1200,1150,13052011
16,Nashik,Chandvad,Bajra,1151,1151,1151,30042011
17,Nashik,Chandvad,Bajra,1025,1025,1025,29042011
18,Nashik,Chandvad,Bajra,1021,1300,1200,13042011
19,Nashik,Chandvad,Bajra,1291,1291,1291,07042011
20,Nashik,Chandvad,Bajra,962,1071,1050,06042011
21,Nashik,Chandvad,Bajra,916,951,925,25032011
22,Nashik,Chandvad,Bajra,852,978,900,23032011
23,Nashik,Chandvad,Bajra,1001,1001,1001,18032011
24,Nashik,Chandvad,Bajra,1119,1119,1119,16032011
25,Nashik,Chandvad,Bajra,1121,1121,1121,15032011
26,Nashik,Chandvad,Bajra,1031,1073,1050,08032011
27,Nashik,Chandvad,Bajra,952,952,952,15022011
28,Nashik,Chandvad,Bajra,1000,1000,1000,12022011
29,Nashik,Chandvad,Bajra,986,986,986,11022011
30,Nashik,Chandvad,Bajra,928,928,928,10022011
31,Nashik,Chandvad,Bajra,912,1273,1150,03022011
32,Nashik,Chandvad,Bajra,953,1100,1000,18012011
33,Nashik,Chandvad,Bajra,1051,1051,1051,08012011
34,Nashik,Chandvad,Bajra,872,1093,950,30122010
35,Nashik,Chandvad,Bajra,971,1151,1000,28122010
36,Nashik,Devala,Bajra,1400,1970,1805,03122018
37,Nashik,Devala,Bajra,1840,1890,1860,30112018
38,Nashik,Devala,Bajra,1445,2125,1850,29112018
39,Nashik,Devala,Bajra,1685,1835,1740,28112018
40,Nashik,Devala,Bajra,1690,2070,1800,26112018
41,Nashik,Devala,Bajra,1225,2070,1720,22112018
42,Nashik,Devala,Bajra,1610,2040,1940,19112018
43,Nashik,Devala,Bajra,1410,1995,1830,16112018
44,Nashik,Devala,Bajra,1500,2000,1955,15112018
45,Nashik,Devala,Bajra,1685,2060,1900,14112018
46,Nashik,Devala,Bajra,1270,2075,1900,02112018
47,Nashik,Devala,Bajra,1400,2160,1955,01112018
48,Nashik,Devala,Bajra,1540,2200,2050,31102018
49,Nashik,Devala,Bajra,1400,2100,2040,30102018
50,Nashik,Devala,Bajra,1495,2125,2045,29102018
51,Nashik,Devala,Bajra,1200,2030,1770,26102018
52,Nashik,Devala,Bajra,1670,2035,1755,25102018
53,Nashik,Devala,Bajra,1390,2030,1800,24102018
54,Nashik,Devala,Bajra,1380,2025,1820,23102018
55,Nashik,Devala,Bajra,1375,2051,1925,22102018
56,Nashik,Devala,Bajra,1590,1975,1925,19102018
57,Nashik,Devala,Bajra,1550,1925,1805,17102018
58,Nashik,Devala,Bajra,1340,1990,1810,16102018
59,Nashik,Devala,Bajra,1215,1840,1740,15102018
60,Nashik,Devala,Bajra,1195,1710,1550,12102018
61,Nashik,Devala,Bajra,1095,1715,1600,11102018
62,Nashik,Devala,Bajra,1275,1725,1600,10102018
63,Nashik,Devala,Bajra,1225,1771,1600,09102018
64,Nashik,Devala,Bajra,1195,1730,1550,05102018
65,Nashik,Devala,Bajra,1185,1705,1500,04102018
66,Nashik,Devala,Bajra,1200,1680,1450,03102018
67,Nashik,Devala,Bajra,1115,1705,1335,01102018
68,Nashik,Devala,Bajra,1140,1695,1325,28092018
69,Nashik,Devala,Bajra,1150,1630,1510,27092018
70,Nashik,Devala,Bajra,1145,1555,1400,26092018
71,Nashik,Devala,Bajra,1115,1420,1220,24092018
72,Nashik,Devala,Bajra,1115,1600,1300,21092018
73,Nashik,Devala,Bajra,1150,1500,1350,19092018
74,Nashik,Devala,Bajra,1190,1600,1350,18092018
75,Nashik,Devala,Bajra,1075,1540,1360,17092018
76,Nashik,Devala,Bajra,1235,1490,1475,14092018
77,Nashik,Devala,Bajra,1135,1445,1300,12092018
78,Nashik,Devala,Bajra,1000,1495,1370,11092018
79,Nashik,Devala,Bajra,1075,1525,1380,10092018
80,Nashik,Devala,Bajra,1050,1435,1430,07092018
81,Nashik,Devala,Bajra,1055,1475,1365,06092018
82,Nashik,Devala,Bajra,1130,1590,1380,05092018
83,Nashik,Devala,Bajra,1115,1550,1490,04092018
84,Nashik,Devala,Bajra,1350,1440,1350,31082018
85,Nashik,Devala,Bajra,1285,1285,1285,30082018
86,Nashik,Devala,Bajra,1146,1400,1381,29082018
87,Nashik,Devala,Bajra,1185,1361,1221,28082018
88,Nashik,Devala,Bajra,1100,1210,1200,27082018
89,Nashik,Devala,Bajra,1175,1190,1190,24082018
90,Nashik,Devala,Bajra,1200,1550,1350,23082018
91,Nashik,Devala,Bajra,1135,1405,1390,20082018
92,Nashik,Devala,Bajra,1400,1470,1470,16082018
93,Nashik,Devala,Bajra,1095,1400,1095,14082018
94,Nashik,Devala,Bajra,1230,1500,1400,10082018
95,Nashik,Devala,Bajra,1270,1499,1470,08082018
96,Nashik,Devala,Bajra,1390,1540,1520,07082018
97,Nashik,Devala,Bajra,1352,1541,1525,06082018
98,Nashik,Devala,Bajra,1190,1575,1400,03082018
99,Nashik,Devala,Bajra,1290,1580,1540,02082018
100,Nashik,Devala,Bajra,1300,1545,1525,01082018
101,Nashik,Devala,Bajra,1203,1785,1542,31072018
102,Nashik,Devala,Bajra,1495,1590,1590,30072018
103,Nashik,Devala,Bajra,1355,1355,1355,25072018
104,Nashik,Devala,Bajra,1277,1336,1290,19072018
105,Nashik,Devala,Bajra,1276,1450,1380,18072018
106,Nashik,Devala,Bajra,1165,1350,1321,17072018
107,Nashik,Devala,Bajra,1252,1472,1451,16072018
108,Nashik,Devala,Bajra,1095,1455,1400,11072018
109,Nashik,Devala,Bajra,1340,1340,1340,09072018
110,Nashik,Devala,Bajra,1093,1348,1325,06072018
111,Nashik,Devala,Bajra,1219,1340,1331,05072018
112,Nashik,Devala,Bajra,1100,1381,1325,04072018
113,Nashik,Devala,Bajra,1135,1435,1315,03072018
114,Nashik,Devala,Bajra,1254,1400,1362,02072018
115,Nashik,Devala,Bajra,1112,1112,1112,29062018
116,Nashik,Devala,Bajra,1185,1325,1240,28062018
117,Nashik,Devala,Bajra,1091,1452,1313,27062018
118,Nashik,Devala,Bajra,1300,1300,1300,26062018
119,Nashik,Devala,Bajra,1130,1237,1181,25062018
120,Nashik,Devala,Bajra,1199,1199,1199,22062018
121,Nashik,Devala,Bajra,1180,1376,1191,21062018
122,Nashik,Devala,Bajra,1166,1330,1330,20062018
123,Nashik,Devala,Bajra,1195,1214,1208,19062018
124,Nashik,Devala,Bajra,1171,1244,1244,18062018
125,Nashik,Devala,Bajra,1184,1355,1331,15062018
126,Nashik,Devala,Bajra,1141,1296,1234,14062018
127,Nashik,Devala,Bajra,1126,1400,1305,12062018
128,Nashik,Devala,Bajra,1110,1290,1190,11062018
129,Nashik,Devala,Bajra,1099,1313,1201,08062018
130,Nashik,Devala,Bajra,1091,1285,1241,07062018
131,Nashik,Devala,Bajra,1090,1312,1230,06062018
132,Nashik,Devala,Bajra,1431,1436,1436,05062018
133,Nashik,Devala,Bajra,1124,1325,1325,04062018
134,Nashik,Devala,Bajra,1314,1314,1314,01062018
135,Nashik,Devala,Bajra,1095,1296,1201,30052018
136,Nashik,Devala,Bajra,1036,1201,1041,29052018
137,Nashik,Devala,Bajra,1045,1380,1241,28052018
138,Nashik,Devala,Bajra,1051,1451,1345,25052018
139,Nashik,Devala,Bajra,1041,1061,1045,24052018
140,Nashik,Devala,Bajra,1041,1350,1346,23052018
141,Nashik,Devala,Bajra,1051,1370,1300,22052018
142,Nashik,Devala,Bajra,1051,1151,1130,21052018
143,Nashik,Devala,Bajra,1041,1511,1251,18052018
144,Nashik,Devala,Bajra,1056,1181,1166,17052018
145,Nashik,Devala,Bajra,1070,1351,1241,16052018
146,Nashik,Devala,Bajra,1046,1344,1249,14052018
147,Nashik,Devala,Bajra,1445,1445,1445,11052018
148,Nashik,Devala,Bajra,1265,1312,1276,10052018
149,Nashik,Devala,Bajra,1082,1401,1360,09052018
150,Nashik,Devala,Bajra,1056,1371,1300,04052018
151,Nashik,Devala,Bajra,1071,1421,1421,03052018
152,Nashik,Devala,Bajra,1290,1371,1371,02052018
153,Nashik,Devala,Bajra,1092,1233,1233,27042018
154,Nashik,Devala,Bajra,1056,1531,1320,26042018
155,Nashik,Devala,Bajra,1240,1271,1271,25042018
156,Nashik,Devala,Bajra,1045,1525,1225,24042018
157,Nashik,Devala,Bajra,1129,1411,1196,23042018
158,Nashik,Devala,Bajra,1131,1270,1201,17042018
159,Nashik,Devala,Bajra,1046,1264,1260,13042018
160,Nashik,Devala,Bajra,1043,1050,1050,12042018
161,Nashik,Devala,Bajra,1046,1180,1141,11042018
162,Nashik,Devala,Bajra,1056,1072,1072,10042018
163,Nashik,Devala,Bajra,1050,1115,1071,09042018
164,Nashik,Devala,Bajra,1051,1171,1171,06042018
165,Nashik,Devala,Bajra,1026,1255,1220,05042018
166,Nashik,Devala,Bajra,1031,1175,1131,26032018
167,Nashik,Devala,Bajra,1066,1590,1145,23032018
168,Nashik,Devala,Bajra,1041,1041,1041,22032018
169,Nashik,Devala,Bajra,1042,1080,1080,21032018
170,Nashik,Devala,Bajra,1100,1456,1186,20032018
171,Nashik,Devala,Bajra,1040,1320,1161,19032018
172,Nashik,Devala,Bajra,1046,1301,1047,16032018
173,Nashik,Devala,Bajra,1041,1191,1141,15032018
174,Nashik,Devala,Bajra,1050,1202,1202,14032018
175,Nashik,Devala,Bajra,1045,1240,1141,13032018
176,Nashik,Devala,Bajra,1051,1191,1090,12032018
177,Nashik,Devala,Bajra,1081,1455,1112,09032018
178,Nashik,Devala,Bajra,1061,1365,1185,08032018
179,Nashik,Devala,Bajra,1037,1299,1145,07032018
180,Nashik,Devala,Bajra,1015,1280,1118,05032018
181,Nashik,Devala,Bajra,1220,1220,1220,26022018
182,Nashik,Devala,Bajra,971,1199,1151,23022018
183,Nashik,Devala,Bajra,1008,1252,1060,22022018
184,Nashik,Devala,Bajra,1075,1256,1156,21022018
185,Nashik,Devala,Bajra,1100,1274,1155,20022018
186,Nashik,Devala,Bajra,1000,1373,1226,16022018
187,Nashik,Devala,Bajra,966,1270,1200,14022018
188,Nashik,Devala,Bajra,961,1112,1055,12022018
189,Nashik,Devala,Bajra,1200,1276,1276,09022018
190,Nashik,Devala,Bajra,1000,1253,1253,08022018
191,Nashik,Devala,Bajra,980,1443,1312,07022018
192,Nashik,Devala,Bajra,1106,1106,1106,06022018
193,Nashik,Devala,Bajra,1050,1370,1300,05022018
194,Nashik,Devala,Bajra,1040,1440,1440,02022018
195,Nashik,Devala,Bajra,1301,1406,1406,01022018
196,Nashik,Devala,Bajra,1030,1100,1098,31012018
197,Nashik,Devala,Bajra,1041,1176,1050,29012018
198,Nashik,Devala,Bajra,1030,1336,1251,25012018
199,Nashik,Devala,Bajra,1026,1066,1030,24012018
200,Nashik,Devala,Bajra,1026,1229,1229,23012018
201,Nashik,Devala,Bajra,1051,1325,1290,22012018
202,Nashik,Devala,Bajra,951,1227,1125,19012018
203,Nashik,Devala,Bajra,1006,1351,1190,18012018
204,Nashik,Devala,Bajra,1025,1376,1081,17012018
205,Nashik,Devala,Bajra,1011,1321,1150,12012018
206,Nashik,Devala,Bajra,1068,1370,1271,11012018
207,Nashik,Devala,Bajra,1031,1333,1333,10012018
208,Nashik,Devala,Bajra,1556,1556,1556,09012018
209,Nashik,Devala,Bajra,1091,1415,1361,08012018
210,Nashik,Devala,Bajra,1091,1521,1422,05012018
211,Nashik,Devala,Bajra,1043,1251,1174,03012018
212,Nashik,Devala,Bajra,1201,1551,1315,02012018
213,Nashik,Devala,Bajra,1155,1155,1155,01012018
214,Nashik,Devala,Bajra,1262,1345,1262,28122017
215,Nashik,Devala,Bajra,1245,1245,1245,27122017
216,Nashik,Devala,Bajra,1051,1371,1360,26122017
217,Nashik,Devala,Bajra,1199,1202,1201,22122017
218,Nashik,Devala,Bajra,1301,1426,1426,21122017
219,Nashik,Devala,Bajra,1036,1272,1250,20122017
220,Nashik,Devala,Bajra,1291,1600,1391,19122017
221,Nashik,Devala,Bajra,1093,1505,1300,15122017
222,Nashik,Devala,Bajra,1226,1509,1509,14122017
223,Nashik,Devala,Bajra,1090,1150,1150,13122017
224,Nashik,Devala,Bajra,1000,1501,1200,12122017
225,Nashik,Devala,Bajra,1401,1601,1601,11122017
226,Nashik,Devala,Bajra,1301,1662,1480,08122017
227,Nashik,Devala,Bajra,1310,1655,1495,07122017
228,Nashik,Devala,Bajra,1140,1475,1364,06122017
229,Nashik,Devala,Bajra,1400,1524,1524,05122017
230,Nashik,Devala,Bajra,1000,1615,1499,04122017
231,Nashik,Devala,Bajra,1355,1575,1505,30112017
232,Nashik,Devala,Bajra,1391,1500,1500,29112017
233,Nashik,Devala,Bajra,1260,1725,1461,28112017
234,Nashik,Devala,Bajra,991,1600,1351,27112017
235,Nashik,Devala,Bajra,980,1540,1356,24112017
236,Nashik,Devala,Bajra,999,1301,1151,23112017
237,Nashik,Devala,Bajra,995,1341,1298,22112017
238,Nashik,Devala,Bajra,1100,1291,1101,20112017
239,Nashik,Devala,Bajra,1051,1465,1374,17112017
240,Nashik,Devala,Bajra,1060,1060,1060,16112017
241,Nashik,Devala,Bajra,1035,1299,1090,15112017
242,Nashik,Devala,Bajra,1061,1551,1393,14112017
243,Nashik,Devala,Bajra,1165,1480,1224,13112017
244,Nashik,Devala,Bajra,1245,1327,1327,10112017
245,Nashik,Devala,Bajra,1076,1436,1325,09112017
246,Nashik,Devala,Bajra,1071,1465,1300,08112017
247,Nashik,Devala,Bajra,1050,1393,1180,07112017
248,Nashik,Devala,Bajra,1064,1449,1326,06112017
249,Nashik,Devala,Bajra,1052,1480,1105,03112017
250,Nashik,Devala,Bajra,1077,1425,1361,01112017
251,Nashik,Devala,Bajra,1070,1377,1350,31102017
252,Nashik,Devala,Bajra,1080,1352,1300,30102017
253,Nashik,Devala,Bajra,1200,1416,1299,27102017
254,Nashik,Devala,Bajra,1165,1379,1230,26102017
255,Nashik,Devala,Bajra,1185,1335,1300,25102017
256,Nashik,Devala,Bajra,1153,1290,1251,24102017
257,Nashik,Devala,Bajra,1280,1331,1300,23102017
258,Nashik,Devala,Bajra,1081,1270,1270,17102017
259,Nashik,Devala,Bajra,1151,1272,1251,16102017
260,Nashik,Devala,Bajra,1125,1300,1271,13102017
261,Nashik,Devala,Bajra,1039,1280,1121,12102017
262,Nashik,Devala,Bajra,1176,1252,1176,11102017
263,Nashik,Devala,Bajra,1055,1241,1171,10102017
264,Nashik,Devala,Bajra,1085,1291,1136,09102017
265,Nashik,Devala,Bajra,1021,1156,1121,06102017
266,Nashik,Devala,Bajra,1005,1162,1100,05102017
267,Nashik,Devala,Bajra,1020,1325,1191,04102017
268,Nashik,Devala,Bajra,1031,1291,1250,03102017
269,Nashik,Devala,Bajra,1040,1190,1098,29092017
270,Nashik,Devala,Bajra,1030,1301,1225,28092017
271,Nashik,Devala,Bajra,1071,1315,1225,27092017
272,Nashik,Devala,Bajra,1061,1196,1142,26092017
273,Nashik,Devala,Bajra,1060,1270,1100,22092017
274,Nashik,Devala,Bajra,1000,1199,1090,21092017
275,Nashik,Devala,Bajra,1041,1132,1091,19092017
276,Nashik,Devala,Bajra,1150,1300,1275,18092017
277,Nashik,Devala,Bajra,1101,1365,1300,15092017
278,Nashik,Devala,Bajra,1130,1300,1217,14092017
279,Nashik,Devala,Bajra,1135,1499,1211,13092017
280,Nashik,Devala,Bajra,1090,1320,1200,12092017
281,Nashik,Devala,Bajra,1151,1322,1250,11092017
282,Nashik,Devala,Bajra,1200,1305,1290,08092017
283,Nashik,Devala,Bajra,1200,1300,1230,07092017
284,Nashik,Devala,Bajra,1215,1355,1236,06092017
285,Nashik,Devala,Bajra,1248,1391,1361,04092017
286,Nashik,Devala,Bajra,1291,1361,1351,01092017
287,Nashik,Devala,Bajra,1251,1435,1401,31082017
288,Nashik,Devala,Bajra,1315,1595,1410,30082017
289,Nashik,Devala,Bajra,1313,1431,1401,29082017
290,Nashik,Devala,Bajra,1336,1591,1425,28082017
